Ref,PosX,PosY,Rot,Side
C1,74,-55.4375,270,top
C2,89,-34.5,180,top
C3,53.4,-44.212499,90,top
C4,53.4,-49,270,top
C5,19,-126,0,top
C6,67.5375,-34.75,0,top
C7,77,-54.2875,270,top
C8,59.75,-50.0375,270,top
C9,27,-55.6,270,top
C10,30,-55.6,270,top
C11,70.0375,-59,180,top
C12,62.5,-55.5375,270,top
C13,28.9875,-38.5,180,top
C14,29,-40,180,top
C15,32.6,-21.212499,90,top
C16,127,-56,0,top
C17,38.212499,-25.6,180,top
C18,20.5,-28.2875,90,top
C19,127,-52,0,top
C20,96,-36.5,90,top
C21,96,-49,270,top
C22,25.7125,-21,180,top
C23,21,-24.7875,90,top
C24,26.2875,-31,180,top
C25,101,-36.5,90,top
C26,101,-49,270,top
C27,20,-32,0,top
C28,107.5,-50,0,top
C29,126.5,-40.5,90,top
C30,95,-53,0,top
C31,141,-48.2875,270,top
C32,90,-56,0,top
C33,137,-52,0,top
C34,81,-38,0,top
C35,141,-44.5,270,top
C36,53,-131.6,90,top
C37,53.25,-123.35,90,top
C38,45.25,-105.6,270,top
C39,48,-131.6,90,top
C40,48.25,-123.35,90,top
C41,47.25,-109.7875,270,top
C42,50.65,-112.5,180,top
C43,59.8,-113.4,90,top
C44,60.4,-93.387501,90,top
C45,59.75,-109.75,270,top
C46,60,-89.75,270,top
C47,64.8125,-103.75,180,top
C48,64.9375,-83.75,180,top
C49,67.387501,-116.4625,0,top
C50,66.012499,-95.8,0,top
C51,75.75,-110.9,270,top
C52,75,-90.85,270,top
C53,66.5375,-106.25,180,top
C54,66.7125,-85.75,180,top
C55,62.2125,-34.75,180,top
C56,31.8,-109.2,270,top
C57,35.2125,-99.6,0,top
C58,32.8,-91.2,180,top
C59,31.7875,-83.8,180,top
C60,93.75,-70.0375,90,top
C61,92,-104.9625,90,top
C62,95.65,-65,0,top
C63,97.4,-97,0,top
C64,97.5,-69,0,top
C65,97.0375,-100.75,0,top
C66,89.5,-82,180,top
C67,91.7125,-112.25,180,top
C68,89.5,-86.5,180,top
